case_id,case_index,power_W,scan_speed_mm_s,powder_feed_g_min,time_s,front_length_m,rear_length_m,melt_pool_length_m,full_width_m,height_span_m,Tmax_K,Gmean_K_per_m,Umax_m_per_s,volume_proxy_m3,superellipsoid_af_m,superellipsoid_ar_m,superellipsoid_b_m,superellipsoid_c_m,superellipsoid_xic_m,superellipsoid_zc_m,superellipsoid_n,superellipsoid_m,superellipsoid_p,superellipsoid_residual_rmse,superellipsoid_volume_full_m3,superellipsoid_volume_relative_error
A1-750-8-60000,1,750.0,8.0,12.0,0.05,0.00058444,0.00075,0.00133444,0.00133876,0.00091101,3640.8,2620667.721382289,0.4238036092988826,7.131139322737307e-10,0.0012837096056017,0.0010471077109279,0.0009387321994755,0.0004870170004057,-0.0001390187850757,-0.0001679050356229,1.0000000000000002,2.309762184263798,1.0000000000000002,0.1783045575868853,1.2226221194207999e-09,0.7144835685968524
A1-750-8-60000,1,750.0,8.0,12.0,0.1,0.0008,0.000883329,0.001683329,0.00156736,0.001225,4213.3,2102209.438430311,0.7481672844685205,1.4631900521732903e-09,0.0013064272350096,0.0017116054151832,0.0012051206561437,0.0006798291812027,-4.7243774506905294e-05,-0.000174863136396,1.0000000000000002,2.002578346711084,1.0000000000000002,0.1300651803156866,2.6392544556174e-09,0.8037673586539835
A1-750-8-60000,1,750.0,8.0,12.0,0.15,0.0009005,0.0010093099999999,0.0019098099999999,0.00155596,0.00137609,3558.8,1655892.9216539718,0.8927805354962662,1.930353935548996e-09,0.001246106979981,0.0017860469048439,0.0010151216579016,0.0008048486155734,-6.397572084530812e-05,-0.0001242855416404,1.0000000000000002,2.469799326531061,1.0000000000000002,0.153283740436008,2.9329550155172476e-09,0.5193871763641678
A1-750-8-60000,1,750.0,8.0,12.0,0.2,0.00095,0.00108183,0.00203183,0.0017,0.00140298,3745.9,1589489.1927083333,0.6129727325909367,2.073800570601064e-09,0.00147679449546,0.0023617926916426,0.0010442894111853,0.0007791463294119,-3.1227515058683106e-05,-0.0001006182524793,1.0000000000000002,2.739467920159134,1.0000000000000002,0.1498590988049394,3.869815423299529e-09,0.8660499366040358
A1-750-8-60000,1,750.0,8.0,12.0,0.3,0.00095,0.0011499999999999,0.0021,0.00170302,0.00146445,2894.9,1214942.1343873518,0.4869237136348979,2.1496217904881195e-09,0.0010079076777794,0.002739203995582,0.0009552719284936,0.0008335017270191,0.000116148065078,3.3518828726565047e-05,1.0000000000000002,2.488695548196417,1.0000000000000002,0.1597214963617298,3.544532362909022e-09,0.6489097657054161
A1-750-8-60000,1,750.0,8.0,12.0,0.4,0.0010745999999999,0.0011969,0.0022715,0.00160766,0.00147723,2672.4,1128888.2542204568,0.7336390652255372,2.1460395702218504e-09,0.0011931870928695,0.0025801622886563,0.0008994979846289,0.0007741419243181,-0.0001381129387698,0.0001371990611645,1.0000000000000002,2.8176513306494857,1.0000000000000002,0.158338659191703,3.2940128947329903e-09,0.5349264479743334
A1-750-8-60000,1,750.0,8.0,12.0,0.5,0.0014806999999999,0.0011883,0.002669,0.00157786,0.0013050499999999,3013.6,1195694.1870503598,0.5427410284297659,1.920216474736389e-09,0.0030966296365116,3.320563775000007e-05,0.0009862860177213,0.0006938116722903,-0.0018555499992996,0.0001020418027573,1.6806263236794885,2.330872093387563,1.6910314931913224,0.2569613920448091,4.1831149289433205e-09,1.178460076756495
A1-750-8-60000,1,750.0,8.0,12.0,0.6,0.0008885,0.0011877999999999,0.0020763,0.0017,0.00138917,2670.2,1055141.6237006236,0.5117913781258923,1.9772903034300632e-09,0.0027192588833724,2.583393149999981e-05,0.001030976464567,0.0007704083031236,-0.0017068749989091,0.0001232153037704,1.7066202548967166,2.230294766517101,1.709227756529206,0.2130492551408689,4.236197799819576e-09,1.14242582005835
A1-750-8-60000,1,750.0,8.0,12.0,0.7,0.0009684,0.0011885,0.0021569,0.001662,0.0013777,2908.9,1098666.624595469,0.6582166341175221,1.879811038583468e-09,0.0027306619351633,0.0053654229353233,0.001072459537638,0.000716600043356,-0.0017277249992056,0.0001455872257006,1.7301619031748394,2.0808695158481427,1.7496968165299456,0.2403574814191527,1.196372543515534e-08,5.364323429109453
A1-750-8-60000,1,750.0,8.0,12.0,0.8,0.0008752999999999,0.00125,0.0021253,0.00165546,0.00139526,2941.6,1111846.1995841996,0.5314217369737148,2.001279984734332e-09,0.0028396934549909,2.6576200000000445e-05,0.0010310757373201,0.0007582768002181,-0.001781324999029,0.000123870367299,1.7120220742902943,2.1056388828541053,1.7365038146991016,0.2394894730394323,4.297499749766943e-09,1.1473755709086506
A1-750-8-60000,1,750.0,8.0,12.0,0.9,0.0012916999999999,0.0012515,0.0025432,0.00164228,0.00146304,2898.8,1177140.532388664,0.9048788361300092,2.0812098500414344e-09,0.0029422151410746,3.179995000000043e-05,0.0010243405258571,0.0007538590323455,-0.0018872999996226,0.0001220061208758,1.7753174648771284,2.087829729857214,1.8007785652885455,0.2675221970698767,4.512228004558526e-09,1.1680793046740063
A1-750-8-60000,1,750.0,8.0,12.0,1.0,0.0009499999999999,0.00125,0.0021999999999999,0.00162488,0.00145708,2873.0,1090590.7101604275,0.5521583840031771,2.001669338213115e-09,0.0028617039116838,2.7509949999999887e-05,0.0010780450870276,0.0007584458072593,-0.0017999999995327,9.001549672082311e-05,1.7874723946920317,1.9100659544766403,1.8094151346733864,0.2415436504928497,4.514154847965784e-09,1.2551950823184204
