audit_area,evidence_family,source_tables,scope,scenario_count,primary_metric,primary_value,primary_unit,secondary_metric,secondary_value,interpretation,limitation,manuscript_action,available_export_only,not_mesh_time_step_solver_verification,does_not_validate_solver_physics
train_fraction,train-fraction sensitivity,validation_stress_tests.csv,A1-A15 model-construction exports,3,mean_time_split_relative_rmse,0.1605166109424098,relative RMSE,support_rate,0.0,Checks sensitivity of the diagonal descriptor to available temporal sampling and split choices.,Internal consistency only; no new FLOW-3D mesh or solver time-step reruns are performed.,"Report as export-only temporal-sampling evidence, not as numerical solver verification.",True,True,True
rolling_origin,rolling-origin temporal-sampling check,validation_stress_tests.csv,A1-A15 model-construction exports,7,mean_time_split_relative_rmse,0.1937077047060436,relative RMSE,support_rate,0.0,Checks sensitivity of the diagonal descriptor to available temporal sampling and split choices.,Internal consistency only; no new FLOW-3D mesh or solver time-step reruns are performed.,"Report as export-only temporal-sampling evidence, not as numerical solver verification.",True,True,True
leave_one_time_step,time-step removal sensitivity,validation_stress_tests.csv,A1-A15 model-construction exports,10,mean_time_split_relative_rmse,0.09640119972274291,relative RMSE,support_rate,0.9,Checks sensitivity of the diagonal descriptor to available temporal sampling and split choices.,Internal consistency only; no new FLOW-3D mesh or solver time-step reruns are performed.,"Report as export-only temporal-sampling evidence, not as numerical solver verification.",True,True,True
deterministic_state_noise,deterministic state-noise perturbation,validation_stress_tests.csv,A1-A15 model-construction exports,3,mean_time_split_relative_rmse,0.15318935874587244,relative RMSE,support_rate,0.0,Checks sensitivity of the diagonal descriptor to available temporal sampling and split choices.,Internal consistency only; no new FLOW-3D mesh or solver time-step reruns are performed.,"Report as export-only temporal-sampling evidence, not as numerical solver verification.",True,True,True
same_ecosystem_cfd_holdout,same-solver transfer check,external_holdout_validation_summary.csv,V-prefixed and A16-A20 holdout exports,10,process_response_mean_relative_error,0.04487317477308785,relative error,process_parameterized_attractor_mean_relative_rmse,0.11371768262028123,Checks whether descriptors and simple process-response maps transfer to withheld same-solver conditions.,Same software ecosystem and preprocessing assumptions; no experimental measurements or independent solver physics are tested.,Use same-ecosystem CFD holdout or same-solver transfer wording.,True,True,True
holdout_extrapolation,process-space range check,holdout_extrapolation_audit.csv,same-ecosystem holdout process settings,10,extrapolative_holdout_case_count,1.0,cases,in_range_holdout_case_count,9.0,Separates interpolation-like holdout checks from extrapolative process settings.,A range check cannot establish physics fidelity outside the available process matrix.,State which holdout cases are extrapolative when discussing transfer evidence.,True,True,True
published_dimension_plausibility_width_mm,published-dimension plausibility,literature_dimension_benchmark.csv,quasi-steady exported descriptors,1,current_export_mean_mm,1.568730962962963,mm,published_range_midpoint_mm,0.625,same_millimetre_scale_but_current_export_mean_above_review_range,"Literature ranges are broad context, not matched controls for this solver setup or export filter.",Use as millimetre-scale plausibility context only.,True,True,True
published_dimension_plausibility_height_or_depth_mm,published-dimension plausibility,literature_dimension_benchmark.csv,quasi-steady exported descriptors,1,current_export_mean_mm,1.3545163703703702,mm,published_range_midpoint_mm,0.375,same_millimetre_scale_but_current_vertical_span_above_review_range,"Literature ranges are broad context, not matched controls for this solver setup or export filter.",Use as millimetre-scale plausibility context only.,True,True,True
convex_hull_alpha_complex_sensitivity,export-envelope proxy bias check,boundary_extraction_sensitivity.csv,available molten-region point clouds,3,best_mean_relative_difference_from_convex,0.4186386417650417,relative difference,best_alpha_radius_multiplier,4.0,Compares convex-hull and alpha-complex volume proxies from the same exported point clouds.,This is a proxy-bias audit; it does not recover the unexported physical interface.,Describe convex hull as an export-derived envelope proxy.,True,True,True
geometry_distance_consistency,geometric-distance limitation check,geometry_selection_metrics.csv,A1-A15 model-construction case summaries,15,normalized_chamfer_win_count,2.0,of 15 cases,hausdorff_radial_volume_win_counts,,Chamfer=2/15; Hausdorff=2/15; radial=0/15; volume proxy=2/15.,Most geometric-distance diagnostics do not support broad reconstruction claims.,Frame the superellipsoid as the selected algebraic observed-envelope descriptor.,True,True,True
input_manifest_hashes,file provenance and checksum audit,input_file_manifest.csv,all discovered raw CSV exports,300,manifest_file_count,300.0,files,unique_schema_count,1.0,"Records raw CSV paths, row counts, schemas and SHA256 hashes for reproducible processing.",Checks provenance of available exports only; raw FLOW-3D project files remain outside the package.,Use as reproducibility evidence rather than physics-quality evidence.,True,True,True
software_environment,runtime reproducibility audit,environment_summary.csv,local Python and LaTeX toolchain,7,reported_component_count,7.0,components,unavailable_component_count,0.0,"Records the runtime used to regenerate tables, figures and PDFs.",Environment capture supports reproducibility but is not a solver verification study.,Keep environment and checksum tables in the reproducibility package.,True,True,True
